97,61,01100001,0110,0001,"BIT 4,C",BIT,4,C,2,8,Z,0,1,-
98,62,01100010,0110,0010,"BIT 4,D",BIT,4,D,2,8,Z,0,1,-
99,63,01100011,0110,0011,"BIT 4,E",BIT,4,E,2,8,Z,0,1,-
100,64,01100100,0110,0100,"BIT 4,H",BIT,4,H,2,8,Z,0,1,-
101,65,01100101,0110,0101,"BIT 4,L",BIT,4,L,2,8,Z,0,1,-
102,66,01100110,0110,0110,"BIT 4,(HL)",BIT,4,(HL),2,16,Z,0,1,-
103,67,01100111,0110,0111,"BIT 4,A",BIT,4,A,2,8,Z,0,1,-
104,68,01101000,0110,1000,"BIT 5,B",BIT,5,B,2,8,Z,0,1,-
105,69,01101001,0110,1001,"BIT 5,C",BIT,5,C,2,8,Z,0,1,-
106,6A,01101010,0110,1010,"BIT 5,D",BIT,5,D,2,8,Z,0,1,-
107,6B,01101011,0110,1011,"BIT 5,E",BIT,5,E,2,8,Z,0,1,-
108,6C,01101100,0110,1100,"BIT 5,H",BIT,5,H,2,8,Z,0,1,-
109,6D,01101101,0110,1101,"BIT 5,L",BIT,5,L,2,8,Z,0,1,-
110,6E,01101110,0110,1110,"BIT 5,(HL)",BIT,5,(HL),2,16,Z,0,1,-
111,6F,01101111,0110,1111,"BIT 5,A",BIT,5,A,2,8,Z,0,1,-
112,70,01110000,0111,0000,"BIT 6,B",BIT,6,B,2,8,Z,0,1,-
113,71,01110001,0111,0001,"BIT 6,C",BIT,6,C,2,8,Z,0,1,-
114,72,01110010,0111,0010,"BIT 6,D",BIT,6,D,2,8,Z,0,1,-
115,73,01110011,0111,0011,"BIT 6,E",BIT,6,E,2,8,Z,0,1,-
116,74,01110100,0111,0100,"BIT 6,H",BIT,6,H,2,8,Z,0,1,-
117,75,01110101,0111,0101,"BIT 6,L",BIT,6,L,2,8,Z,0,1,-
118,76,01110110,0111,0110,"BIT 6,(HL)",BIT,6,(HL),2,16,Z,0,1,-
119,77,01110111,0111,0111,"BIT 6,A",BIT,6,A,2,8,Z,0,1,-
120,78,01111000,0111,1000,"BIT 7,B",BIT,7,B,2,8,Z,0,1,-
121,79,01111001,0111,1001,"BIT 7,C",BIT,7,C,2,8,Z,0,1,-
122,7A,01111010,0111,1010,"BIT 7,D",BIT,7,D,2,8,Z,0,1,-
123,7B,01111011,0111,1011,"BIT 7,E",BIT,7,E,2,8,Z,0,1,-
124,7C,01111100,0111,1100,"BIT 7,H",BIT,7,H,2,8,Z,0,1,-
125,7D,01111101,0111,1101,"BIT 7,L",BIT,7,L,2,8,Z,0,1,-
126,7E,01111110,0111,1110,"BIT 7,(HL)",BIT,7,(HL),2,16,Z,0,1,-
127,7F,01111111,0111,1111,"BIT 7,A",BIT,7,A,2,8,Z,0,1,-
128,80,10000000,1000,0000,"RES 0,B",RES,0,B,2,8,-,-,-,-
129,81,10000001,1000,0001,"RES 0,C",RES,0,C,2,8,-,-,-,-
130,82,10000010,1000,0010,"RES 0,D",RES,0,D,2,8,-,-,-,-
131,83,10000011,1000,0011,"RES 0,E",RES,0,E,2,8,-,-,-,-
132,84,10000100,1000,0100,"RES 0,H",RES,0,H,2,8,-,-,-,-
133,85,10000101,1000,0101,"RES 0,L",RES,0,L,2,8,-,-,-,-
134,86,10000110,1000,0110,"RES 0,(HL)",RES,0,(HL),2,16,-,-,-,-
135,87,10000111,1000,0111,"RES 0,A",RES,0,A,2,8,-,-,-,-
136,88,10001000,1000,1000,"RES 1,B",RES,1,B,2,8,-,-,-,-
137,89,10001001,1000,1001,"RES 1,C",RES,1,C,2,8,-,-,-,-
138,8A,10001010,1000,1010,"RES 1,D",RES,1,D,2,8,-,-,-,-
139,8B,10001011,1000,1011,"RES 1,E",RES,1,E,2,8,-,-,-,-
140,8C,10001100,1000,1100,"RES 1,H",RES,1,H,2,8,-,-,-,-
141,8D,10001101,1000,1101,"RES 1,L",RES,1,L,2,8,-,-,-,-
142,8E,10001110,1000,1110,"RES 1,(HL)",RES,1,(HL),2,16,-,-,-,-
143,8F,10001111,1000,1111,"RES 1,A",RES,1,A,2,8,-,-,-,-
144,90,10010000,1001,0000,"RES 2,B",RES,2,B,2,8,-,-,-,-
145,91,10010001,1001,0001,"RES 2,C",RES,2,C,2,8,-,-,-,-
146,92,10010010,1001,0010,"RES 2,D",RES,2,D,2,8,-,-,-,-
147,93,10010011,1001,0011,"RES 2,E",RES,2,E,2,8,-,-,-,-
148,94,10010100,1001,0100,"RES 2,H",RES,2,H,2,8,-,-,-,-
149,95,10010101,1001,0101,"RES 2,L",RES,2,L,2,8,-,-,-,-
150,96,10010110,1001,0110,"RES 2,(HL)",RES,2,(HL),2,16,-,-,-,-
151,97,10010111,1001,0111,"RES 2,A",RES,2,A,2,8,-,-,-,-
152,98,10011000,1001,1000,"RES 3,B",RES,3,B,2,8,-,-,-,-
153,99,10011001,1001,1001,"RES 3,C",RES,3,C,2,8,-,-,-,-
154,9A,10011010,1001,1010,"RES 3,D",RES,3,D,2,8,-,-,-,-
155,9B,10011011,1001,1011,"RES 3,E",RES,3,E,2,8,-,-,-,-
156,9C,10011100,1001,1100,"RES 3,H",RES,3,H,2,8,-,-,-,-
157,9D,10011101,1001,1101,"RES 3,L",RES,3,L,2,8,-,-,-,-
158,9E,10011110,1001,1110,"RES 3,(HL)",RES,3,(HL),2,16,-,-,-,-
159,9F,10011111,1001,1111,"RES 3,A",RES,3,A,2,8,-,-,-,-
160,A0,10100000,1010,0000,"RES 4,B",RES,4,B,2,8,-,-,-,-
161,A1,10100001,1010,0001,"RES 4,C",RES,4,C,2,8,-,-,-,-
162,A2,10100010,1010,0010,"RES 4,D",RES,4,D,2,8,-,-,-,-
163,A3,10100011,1010,0011,"RES 4,E",RES,4,E,2,8,-,-,-,-
164,A4,10100100,1010,0100,"RES 4,H",RES,4,H,2,8,-,-,-,-
165,A5,10100101,1010,0101,"RES 4,L",RES,4,L,2,8,-,-,-,-
166,A6,10100110,1010,0110,"RES 4,(HL)",RES,4,(HL),2,16,-,-,-,-
167,A7,10100111,1010,0111,"RES 4,A",RES,4,A,2,8,-,-,-,-
168,A8,10101000,1010,1000,"RES 5,B",RES,5,B,2,8,-,-,-,-
169,A9,10101001,1010,1001,"RES 5,C",RES,5,C,2,8,-,-,-,-
170,AA,10101010,1010,1010,"RES 5,D",RES,5,D,2,8,-,-,-,-
171,AB,10101011,1010,1011,"RES 5,E",RES,5,E,2,8,-,-,-,-
172,AC,10101100,1010,1100,"RES 5,H",RES,5,H,2,8,-,-,-,-
173,AD,10101101,1010,1101,"RES 5,L",RES,5,L,2,8,-,-,-,-
174,AE,10101110,1010,1110,"RES 5,(HL)",RES,5,(HL),2,16,-,-,-,-
175,AF,10101111,1010,1111,"RES 5,A",RES,5,A,2,8,-,-,-,-
176,B0,10110000,1011,0000,"RES 6,B",RES,6,B,2,8,-,-,-,-
177,B1,10110001,1011,0001,"RES 6,C",RES,6,C,2,8,-,-,-,-
178,B2,10110010,1011,0010,"RES 6,D",RES,6,D,2,8,-,-,-,-
179,B3,10110011,1011,0011,"RES 6,E",RES,6,E,2,8,-,-,-,-
180,B4,10110100,1011,0100,"RES 6,H",RES,6,H,2,8,-,-,-,-
181,B5,10110101,1011,0101,"RES 6,L",RES,6,L,2,8,-,-,-,-
182,B6,10110110,1011,0110,"RES 6,(HL)",RES,6,(HL),2,16,-,-,-,-
183,B7,10110111,1011,0111,"RES 6,A",RES,6,A,2,8,-,-,-,-
184,B8,10111000,1011,1000,"RES 7,B",RES,7,B,2,8,-,-,-,-
185,B9,10111001,1011,1001,"RES 7,C",RES,7,C,2,8,-,-,-,-
186,BA,10111010,1011,1010,"RES 7,D",RES,7,D,2,8,-,-,-,-
187,BB,10111011,1011,1011,"RES 7,E",RES,7,E,2,8,-,-,-,-
188,BC,10111100,1011,1100,"RES 7,H",RES,7,H,2,8,-,-,-,-
189,BD,10111101,1011,1101,"RES 7,L",RES,7,L,2,8,-,-,-,-
190,BE,10111110,1011,1110,"RES 7,(HL)",RES,7,(HL),2,16,-,-,-,-
191,BF,10111111,1011,1111,"RES 7,A",RES,7,A,2,8,-,-,-,-
192,C0,11000000,1100,0000,"SET 0,B",SET,0,B,2,8,-,-,-,-
193,C1,11000001,1100,0001,"SET 0,C",SET,0,C,2,8,-,-,-,-
194,C2,11000010,1100,0010,"SET 0,D",SET,0,D,2,8,-,-,-,-
195,C3,11000011,1100,0011,"SET 0,E",SET,0,E,2,8,-,-,-,-
196,C4,11000100,1100,0100,"SET 0,H",SET,0,H,2,8,-,-,-,-
197,C5,11000101,1100,0101,"SET 0,L",SET,0,L,2,8,-,-,-,-
198,C6,11000110,1100,0110,"SET 0,(HL)",SET,0,(HL),2,16,-,-,-,-
199,C7,11000111,1100,0111,"SET 0,A",SET,0,A,2,8,-,-,-,-
200,C8,11001000,1100,1000,"SET 1,B",SET,1,B,2,8,-,-,-,-
201,C9,11001001,1100,1001,"SET 1,C",SET,1,C,2,8,-,-,-,-
202,CA,11001010,1100,1010,"SET 1,D",SET,1,D,2,8,-,-,-,-
203,CB,11001011,1100,1011,"SET 1,E",SET,1,E,2,8,-,-,-,-
204,CC,11001100,1100,1100,"SET 1,H",SET,1,H,2,8,-,-,-,-
205,CD,11001101,1100,1101,"SET 1,L",SET,1,L,2,8,-,-,-,-
206,CE,11001110,1100,1110,"SET 1,(HL)",SET,1,(HL),2,16,-,-,-,-
207,CF,11001111,1100,1111,"SET 1,A",SET,1,A,2,8,-,-,-,-
208,D0,11010000,1101,0000,"SET 2,B",SET,2,B,2,8,-,-,-,-
209,D1,11010001,1101,0001,"SET 2,C",SET,2,C,2,8,-,-,-,-
210,D2,11010010,1101,0010,"SET 2,D",SET,2,D,2,8,-,-,-,-
211,D3,11010011,1101,0011,"SET 2,E",SET,2,E,2,8,-,-,-,-
212,D4,11010100,1101,0100,"SET 2,H",SET,2,H,2,8,-,-,-,-
